  1     4   119    11   128    44  1948
  2     6   300    29   274    55  1949
  3     3   228    11   209    42  1960
  4    62 13536   248 12619    52  1977
  5    33  5036    47  5761    13  1973
  6   180  1361   372  1079    44  1953
  7     8  2537    10   619    19  1973
  8   505 87886   499 87892    13  1980
  9    29  7470    45  7232    27  1968
 10    17  1699    65  1600    42  1961
 11   186 50448   141 27197    18  1974
 12     5  2493     3  2338    33  1969
 13    27 16886    29 17825    33  1976
