1 1 1 1 1 A
2 1 1 1 1 A
3 1 1 1 1 A
4 1 1 1 1 A
5 1 1 1 1 A
6 1 1 1 1 A
7 1 1 1 1 A
8 1 1 1 1 A
9 1 1 1 1 A
10 1 1 1 1 A
11 1 1 2 1 A
12 1 1 2 1 A
13 1 2 2 1 A
14 1 2 2 1 A
15 1 2 2 1 A
16 1 2 2 2 A
17 2 2 2 2 A
18 2 2 2 2 A
19 2 2 2 2 A
20 2 2 2 2 A
21 2 2 2 2 A
22 2 2 2 2 A
23 2 2 2 2 A
24 2 2 2 2 A
25 2 2 2 2 A
26 2 2 2 2 A
27 2 2 2 2 A
28 2 2 2 2 A
29 2 2 2 2 A
30 2 2 2 2 A
31 1 1 1 1 B
32 1 1 1 1 B
33 1 1 1 1 B
34 1 1 1 1 B
35 1 1 1 1 B
36 1 1 1 1 B
37 1 1 1 1 B
38 1 1 1 1 B
39 1 1 2 1 B
40 1 1 2 1 B
41 1 1 2 1 B
42 1 1 2 1 B
43 1 1 2 1 B
44 1 1 2 1 B
45 1 2 2 2 B
46 2 2 2 2 B
47 2 2 2 2 B
48 2 2 2 2 B
49 2 2 2 2 B
50 2 2 2 2 B
51 2 2 2 2 B
52 2 2 2 2 B
53 2 2 2 2 B
54 2 2 2 2 B
55 2 2 2 2 B
56 2 2 2 2 B
57 2 2 2 2 B
58 2 2 2 2 B
59 2 2 2 2 B
60 2 2 2 2 B
