 1   574     21.9
 2   592     18.6
 3   664     18.6
 4   667     19.1
 5   718     19.2
 6   770     16.9
 7   927     18.3
 8   947     17.2
 9  1020     19.0
10  1096     19.0
11  1277     18.6
12  1323     22.8
13  1330     24.6
14  1599     24.9
15  1639     29.2
16  1787     32.0
17  1790     27.9
18  1794     31.0
19  1874     30.7
20  2049     35.4
21  2132     36.1
22  2160     39.1
23  2292     42.6
24  2312     39.9
25  2475     46.2
26  2489     50.9
27  2490     46.5
28  2577     46.3
29  2766     55.8
30  2812     54.5
31  2893     63.5
32  2957     60.3
33  3052     64.8
34  3151     69.2
35  3161     74.7
36  3266     72.9
37  3386     80.4
38  3452     83.0
39  3521     86.0
40  3543     88.9
41  3676     96.8
42  3741     89.1
43  3844    100.9
44  3878    103.0
45  4002    113.4
46  4114    111.4
47  4152    119.9
48  4252    127.2
49  4290    126.4
50  4331    135.5
51  4332    138.9
52  4390    143.7
53  4393    144.8
